action_id,related_incident,owner,priority,description,start_date,due_date,status,evidence,start_dt,due_dt,closed_date,days_to_close
ACTION-20000,PTW-5065,Neeta Kulkarni (HOD Production),Medium,Update contractor induction and ensure contractor supervision is present during hot work,2025-08-23,2025-09-07,Open,photo_housekeeping_after.jpg,2025-08-23 00:00:00,2025-09-07 00:00:00,,
ACTION-20001,PTW-5077,Vikram Shinde (Welding Lead),Low,Install additional lighting to meet lux levels; measure post-installation,2025-08-13,2025-08-29,Open,work_permit_PT_678.pdf,2025-08-13 00:00:00,2025-08-29 00:00:00,,
ACTION-20002,INS-8279,Ramesh Patil (Maintenance Head),Medium,Investigate cause of frequent forklift keys left in ignition; enforce parking SOP,2025-08-04,2025-08-19,Closed,work_permit_PT_678.pdf,2025-08-04 00:00:00,2025-08-19 00:00:00,2025-09-02,29.0
ACTION-20003,INS-8088,Sagar Dani (Safety Officer),High,Install additional lighting to meet lux levels; measure post-installation,2025-09-28,2025-10-06,Closed,photo_guard_installed.jpg,2025-09-28 00:00:00,2025-10-06 00:00:00,2025-10-17,19.0
ACTION-20004,CASE-12023,Ramesh Patil (Maintenance Head),High,Calibrate torque tools and label with next calibration date,2025-08-16,2025-08-22,Closed,purchase_order_guard_123.pdf,2025-08-16 00:00:00,2025-08-22 00:00:00,2025-08-17,1.0
ACTION-20005,INS-8034,Rahul Deshmukh (Quality Inspector),Critical,Replace worn hydraulic hose and schedule weekly inspection,2025-10-15,2025-10-19,Closed,witness_statement_01.pdf,2025-10-15 00:00:00,2025-10-19 00:00:00,2025-10-23,8.0
ACTION-20006,CASE-12005,Prakash Yadav (Shift Incharge),Critical,Create procedure for battery handling and ventilation checks; assign owner,2025-10-07,2025-10-11,Closed,witness_statement_01.pdf,2025-10-07 00:00:00,2025-10-11 00:00:00,2025-10-12,5.0
ACTION-20007,INS-8303,Neeta Kulkarni (HOD Production),High,Schedule mock drill for emergency response and record timings,2025-09-25,2025-09-28,Closed,scaffold_inspection_07.pdf,2025-09-25 00:00:00,2025-09-28 00:00:00,2025-09-26,1.0
ACTION-20008,INS-8247,Vikram Shinde (Welding Lead),Medium,Investigate cause of frequent forklift keys left in ignition; enforce parking SOP,2025-09-09,2025-09-18,Closed,ncr_2309_45.pdf,2025-09-09 00:00:00,2025-09-18 00:00:00,2025-09-11,2.0
ACTION-20009,INS-8196,Ajay Kadam (Contractor Foreman),Low,Improve housekeeping in area; install floor marking and add anti-slip mats,2025-10-25,2025-11-25,Open,first_aid_log_case12015.pdf,2025-10-25 00:00:00,2025-11-25 00:00:00,,
ACTION-20010,CASE-12067,Manoj Desai (QA Head),Low,Investigate cause of frequent forklift keys left in ignition; enforce parking SOP,2025-10-10,2025-11-02,Closed,photo_housekeeping_after.jpg,2025-10-10 00:00:00,2025-11-02 00:00:00,2025-10-26,16.0
ACTION-20011,INS-8246,Suresh Patil (Inspection Lead),Medium,Schedule mock drill for emergency response and record timings,2025-08-04,2025-08-19,Closed,inspection_close_report_11.pdf,2025-08-04 00:00:00,2025-08-19 00:00:00,2025-08-24,20.0
ACTION-20012,CASE-12117,Amit Mehta (Plant Manager),Medium,Calibrate torque tools and label with next calibration date,2025-08-28,2025-09-06,Closed,first_aid_log_case12015.pdf,2025-08-28 00:00:00,2025-09-06 00:00:00,2025-09-17,20.0
ACTION-20013,INS-8049,Priya Joshi (Process Engineer),Medium,Conduct refresher training on LOTO for maintenance team; certify competency,2025-10-14,2025-10-27,In Progress,signed_permit_close.pdf,2025-10-14 00:00:00,2025-10-27 00:00:00,,
ACTION-20014,INS-8071,Vikram Shinde (Welding Lead),High,Repair damaged scaffold and re-inspect before next use; suspend any height work until cleared,2025-10-27,2025-11-01,Closed,ncr_2309_45.pdf,2025-10-27 00:00:00,2025-11-01 00:00:00,2025-11-08,12.0
ACTION-20015,INS-8267,Manoj Desai (QA Head),Medium,Provide spill containment and update chemical storage SOP; conduct drill,2025-10-17,2025-11-05,Closed,gas_test_report_45.pdf,2025-10-17 00:00:00,2025-11-05 00:00:00,2025-11-14,28.0
ACTION-20016,AM-1079,Suresh Patil (Inspection Lead),Medium,Implement buddy-check system for confined space entry and gas testing documentation,2025-09-10,2025-09-29,Closed,first_aid_log_case12015.pdf,2025-09-10 00:00:00,2025-09-29 00:00:00,2025-10-01,21.0
ACTION-20017,PTW-5064,Vikram Shinde (Welding Lead),Low,Conduct arc flash study and provide PPE upgrade for electrical team,2025-10-31,2025-12-06,Open,none,2025-10-31 00:00:00,2025-12-06 00:00:00,,
ACTION-20018,INS-8228,Priya Joshi (Process Engineer),Critical,Improve housekeeping in area; install floor marking and add anti-slip mats,2025-09-09,2025-09-14,Closed,inspection_close_report_11.pdf,2025-09-09 00:00:00,2025-09-14 00:00:00,2025-09-10,1.0
ACTION-20019,CASE-12049,Mohan Dighe (External Contractor),High,Create procedure for battery handling and ventilation checks; assign owner,2025-08-16,2025-08-22,Closed,signed_permit_close.pdf,2025-08-16 00:00:00,2025-08-22 00:00:00,2025-08-31,15.0
ACTION-20020,INS-8158,Ramesh Patil (Maintenance Head),Medium,Improve housekeeping in area; install floor marking and add anti-slip mats,2025-10-03,2025-10-20,In Progress,video_repair_2025-08-15.mp4,2025-10-03 00:00:00,2025-10-20 00:00:00,,
ACTION-20021,CASE-12055,Neeta Kulkarni (HOD Production),Medium,Repair damaged scaffold and re-inspect before next use; suspend any height work until cleared,2025-09-14,2025-10-04,Closed,training_attendance_sheet_aug.pdf,2025-09-14 00:00:00,2025-10-04 00:00:00,2025-10-03,19.0
ACTION-20022,AM-1007,Anita Bhosale (HR - Training),Medium,Schedule mock drill for emergency response and record timings,2025-10-16,2025-10-28,Closed,scaffold_inspection_07.pdf,2025-10-16 00:00:00,2025-10-28 00:00:00,2025-11-03,18.0
ACTION-20023,CASE-12108,Priya Joshi (Process Engineer),High,Calibrate torque tools and label with next calibration date,2025-10-21,2025-10-24,Closed,eyewash_flow_test_2025-09-20.pdf,2025-10-21 00:00:00,2025-10-24 00:00:00,2025-10-23,2.0
ACTION-20024,CASE-12012,Nilesh Chavan (Electrical Technician),High,Investigate root cause of repeated weld splatter; update weld parameter and robot program,2025-10-11,2025-10-18,Closed,work_permit_PT_678.pdf,2025-10-11 00:00:00,2025-10-18 00:00:00,2025-10-30,19.0
ACTION-20025,INS-8178,Meena Pawar (Logistics Supervisor),Medium,Replenish and secure PPE (gloves/face shields); enforce PPE checks at shift start,2025-09-15,2025-09-22,Closed,first_aid_log_case12015.pdf,2025-09-15 00:00:00,2025-09-22 00:00:00,2025-09-15,0.0
ACTION-20026,INS-8372,Rahul Deshmukh (Quality Inspector),Low,Conduct refresher training on LOTO for maintenance team; certify competency,2025-10-24,2025-12-02,Open,certificate_loto_trainees.pdf,2025-10-24 00:00:00,2025-12-02 00:00:00,,
ACTION-20027,INS-8322,Amit Mehta (Plant Manager),High,Investigate root cause of repeated weld splatter; update weld parameter and robot program,2025-08-12,2025-08-16,Closed,video_repair_2025-08-15.mp4,2025-08-12 00:00:00,2025-08-16 00:00:00,2025-08-28,16.0
ACTION-20028,INS-8332,Pooja Nimbalkar (Safety Coordinator),Medium,Replace worn hydraulic hose and schedule weekly inspection,2025-09-02,2025-09-10,In Progress,certificate_loto_trainees.pdf,2025-09-02 00:00:00,2025-09-10 00:00:00,,
ACTION-20029,PTW-5025,Sagar Dani (Safety Officer),High,Improve housekeeping in area; install floor marking and add anti-slip mats,2025-10-09,2025-10-19,Closed,purchase_order_guard_123.pdf,2025-10-09 00:00:00,2025-10-19 00:00:00,2025-11-02,24.0
ACTION-20030,INS-8247,Priya Joshi (Process Engineer),Medium,Update contractor induction and ensure contractor supervision is present during hot work,2025-08-01,2025-08-19,Closed,ncr_2309_45.pdf,2025-08-01 00:00:00,2025-08-19 00:00:00,2025-08-31,30.0
ACTION-20031,INS-8199,Priya Joshi (Process Engineer),Low,Install fixed guarding at press feed point and retro-fit interlock,2025-09-08,2025-10-11,Closed,training_attendance_sheet_aug.pdf,2025-09-08 00:00:00,2025-10-11 00:00:00,2025-10-17,39.0
ACTION-20032,INS-8069,Ajay Kadam (Contractor Foreman),High,Tag and quarantine non-conforming parts; update NCR process in ERP,2025-09-12,2025-09-20,Closed,signed_permit_close.pdf,2025-09-12 00:00:00,2025-09-20 00:00:00,2025-09-22,10.0
ACTION-20033,INS-8051,Mohan Dighe (External Contractor),High,Repair damaged scaffold and re-inspect before next use; suspend any height work until cleared,2025-08-04,2025-08-14,Closed,none,2025-08-04 00:00:00,2025-08-14 00:00:00,2025-08-23,19.0
ACTION-20034,INS-8084,Ritu Patil (Stores Incharge),Medium,Conduct refresher training on LOTO for maintenance team; certify competency,2025-09-23,2025-10-11,Closed,signed_permit_close.pdf,2025-09-23 00:00:00,2025-10-11 00:00:00,2025-09-24,1.0
ACTION-20035,INS-8016,Priya Joshi (Process Engineer),High,Provide spill containment and update chemical storage SOP; conduct drill,2025-08-08,2025-08-17,Closed,eyewash_flow_test_2025-09-20.pdf,2025-08-08 00:00:00,2025-08-17 00:00:00,2025-08-24,16.0
ACTION-20036,INS-8031,Kiran Jadhav (Paint Lead),Medium,Calibrate torque tools and label with next calibration date,2025-08-27,2025-09-03,Closed,purchase_order_guard_123.pdf,2025-08-27 00:00:00,2025-09-03 00:00:00,2025-08-30,3.0
ACTION-20037,INS-8224,Pooja Nimbalkar (Safety Coordinator),Medium,Install fixed guarding at press feed point and retro-fit interlock,2025-08-07,2025-08-28,In Progress,photo_guard_installed.jpg,2025-08-07 00:00:00,2025-08-28 00:00:00,,
ACTION-20038,INS-8104,Ajay Kadam (Contractor Foreman),High,Repair damaged scaffold and re-inspect before next use; suspend any height work until cleared,2025-09-06,2025-09-09,Open,calibration_report_0925.pdf,2025-09-06 00:00:00,2025-09-09 00:00:00,,
ACTION-20039,INS-8037,Sagar Dani (Safety Officer),Low,Improve housekeeping in area; install floor marking and add anti-slip mats,2025-10-02,2025-10-25,Open,training_attendance_sheet_aug.pdf,2025-10-02 00:00:00,2025-10-25 00:00:00,,
ACTION-20040,INS-8103,Rahul Deshmukh (Quality Inspector),Low,Conduct refresher training on LOTO for maintenance team; certify competency,2025-08-09,2025-09-12,In Progress,certificate_loto_trainees.pdf,2025-08-09 00:00:00,2025-09-12 00:00:00,,
ACTION-20041,INS-8023,Sunita Gaikwad (Operator Lead),Medium,Implement buddy-check system for confined space entry and gas testing documentation,2025-10-03,2025-10-13,In Progress,eyewash_flow_test_2025-09-20.pdf,2025-10-03 00:00:00,2025-10-13 00:00:00,,
ACTION-20042,INS-8093,Mohan Dighe (External Contractor),Medium,Tag and quarantine non-conforming parts; update NCR process in ERP,2025-08-28,2025-09-08,In Progress,gas_test_report_45.pdf,2025-08-28 00:00:00,2025-09-08 00:00:00,,
ACTION-20043,PTW-5074,Meena Pawar (Logistics Supervisor),Critical,Implement buddy-check system for confined space entry and gas testing documentation,2025-08-05,2025-08-07,Closed,purchase_order_guard_123.pdf,2025-08-05 00:00:00,2025-08-07 00:00:00,2025-08-16,11.0
ACTION-20044,CASE-12065,Ritu Patil (Stores Incharge),Critical,Replenish and secure PPE (gloves/face shields); enforce PPE checks at shift start,2025-09-13,2025-09-16,Closed,signed_permit_close.pdf,2025-09-13 00:00:00,2025-09-16 00:00:00,2025-09-29,16.0
ACTION-20045,PTW-5072,Rahul Deshmukh (Quality Inspector),Low,Introduce ergonomic aids for manual lifting; trial mechanical lifter for 2 weeks,2025-09-22,2025-11-04,Closed,purchase_order_guard_123.pdf,2025-09-22 00:00:00,2025-11-04 00:00:00,2025-10-15,23.0
ACTION-20046,INS-8300,Sunita Gaikwad (Operator Lead),Medium,Conduct refresher training on LOTO for maintenance team; certify competency,2025-09-14,2025-09-23,Closed,purchase_order_guard_123.pdf,2025-09-14 00:00:00,2025-09-23 00:00:00,2025-09-29,15.0
ACTION-20047,CASE-12056,Anita Bhosale (HR - Training),Medium,Schedule mock drill for emergency response and record timings,2025-08-03,2025-08-20,Open,calibration_report_0925.pdf,2025-08-03 00:00:00,2025-08-20 00:00:00,,
ACTION-20048,INS-8213,Deepak Raut (Maintenance Fitter),Medium,Install fixed guarding at press feed point and retro-fit interlock,2025-09-28,2025-10-13,Closed,calibration_report_0925.pdf,2025-09-28 00:00:00,2025-10-13 00:00:00,2025-10-10,12.0
ACTION-20049,PTW-5071,Ritu Patil (Stores Incharge),Medium,Create procedure for battery handling and ventilation checks; assign owner,2025-10-23,2025-11-01,Closed,video_repair_2025-08-15.mp4,2025-10-23 00:00:00,2025-11-01 00:00:00,2025-11-11,19.0
ACTION-20050,INS-8257,Sunita Gaikwad (Operator Lead),High,Repair damaged scaffold and re-inspect before next use; suspend any height work until cleared,2025-08-25,2025-08-29,Open,witness_statement_01.pdf,2025-08-25 00:00:00,2025-08-29 00:00:00,,
ACTION-20051,CASE-12139,Prakash Yadav (Shift Incharge),High,Replenish and secure PPE (gloves/face shields); enforce PPE checks at shift start,2025-10-06,2025-10-13,Closed,purchase_order_guard_123.pdf,2025-10-06 00:00:00,2025-10-13 00:00:00,2025-10-20,14.0
ACTION-20052,INS-8042,Ritu Patil (Stores Incharge),Medium,Introduce ergonomic aids for manual lifting; trial mechanical lifter for 2 weeks,2025-09-25,2025-10-15,In Progress,none,2025-09-25 00:00:00,2025-10-15 00:00:00,,
ACTION-20053,INS-8018,Deepak Raut (Maintenance Fitter),High,Calibrate torque tools and label with next calibration date,2025-08-22,2025-08-28,Closed,training_attendance_sheet_aug.pdf,2025-08-22 00:00:00,2025-08-28 00:00:00,2025-09-07,16.0
ACTION-20054,INS-8342,Amit Mehta (Plant Manager),High,Improve housekeeping in area; install floor marking and add anti-slip mats,2025-10-21,2025-10-28,Open,purchase_order_guard_123.pdf,2025-10-21 00:00:00,2025-10-28 00:00:00,,
ACTION-20055,INS-8324,Pooja Nimbalkar (Safety Coordinator),Medium,Update contractor induction and ensure contractor supervision is present during hot work,2025-10-04,2025-10-13,Closed,safety_meeting_minutes_2025-09-10.pdf,2025-10-04 00:00:00,2025-10-13 00:00:00,2025-10-24,20.0
ACTION-20056,INS-8058,Ajay Kadam (Contractor Foreman),Medium,Investigate cause of frequent forklift keys left in ignition; enforce parking SOP,2025-10-07,2025-10-23,Open,safety_meeting_minutes_2025-09-10.pdf,2025-10-07 00:00:00,2025-10-23 00:00:00,,
ACTION-20057,INS-8143,Meena Pawar (Logistics Supervisor),Medium,Tag and quarantine non-conforming parts; update NCR process in ERP,2025-10-27,2025-11-06,Closed,witness_statement_01.pdf,2025-10-27 00:00:00,2025-11-06 00:00:00,2025-11-03,7.0
ACTION-20058,INS-8147,Ritu Patil (Stores Incharge),Medium,Repair damaged scaffold and re-inspect before next use; suspend any height work until cleared,2025-08-06,2025-08-26,In Progress,spill_kit_invoice_22.pdf,2025-08-06 00:00:00,2025-08-26 00:00:00,,
ACTION-20059,AM-1040,Ritu Patil (Stores Incharge),Medium,Improve housekeeping in area; install floor marking and add anti-slip mats,2025-08-05,2025-08-16,Open,safety_meeting_minutes_2025-09-10.pdf,2025-08-05 00:00:00,2025-08-16 00:00:00,,
ACTION-20060,CASE-12060,Sunita Gaikwad (Operator Lead),Medium,Conduct refresher training on LOTO for maintenance team; certify competency,2025-10-23,2025-11-12,Open,video_repair_2025-08-15.mp4,2025-10-23 00:00:00,2025-11-12 00:00:00,,
