inspection_id,date,area,inspector,checklist_item,status,remarks
INS-8000,2025-09-23,Stamping - Bay 1,Prakash Yadav,Battery storage ventilation,Fail,Loose cable across walkway
INS-8001,2025-09-25,Paint - Prep Area,Nilesh Chavan,Cables/trip hazards managed,Fail,Extinguisher pressure low
INS-8012,2025-10-02,Testing - Dyno Bay,Jyoti Rane,Waste segregation bins present,Fail,Emergency exit partially blocked
INS-8033,2025-09-26,Stamping - Bay 1,Nilesh Chavan,Emergency exit unobstructed,Fail,Oil leak at hydraulic unit
INS-8047,2025-10-01,Testing - Dyno Bay,Neeta Kulkarni,Toolbox condition,Fail,Extinguisher pressure low
INS-8055,2025-08-16,Stores - Chemical Storage,Anita Bhosale,Housekeeping - Floors clean and dry,Fail,PPE missing on operator
INS-8056,2025-09-15,Paint - Prep Area,Ramesh Patil,Lockout-tagout in place where work ongoing,Fail,SDS missing for chemical drum
INS-8061,2025-10-16,Assembly - Line 5,Pooja Nimbalkar,Chemical containers labeled,Fail,PPE missing on operator
INS-8067,2025-10-29,Assembly - Line 6,Priya Joshi,Hot work permits displayed,Fail,Spill observed near machine
INS-8071,2025-08-11,Body Shop - Booth A,Suresh Patil,Fire extinguisher pressure OK,Fail,Oil leak at hydraulic unit
INS-8077,2025-08-14,Underground Tank Area,Rakesh More,Torque tool calibration sticker present,Fail,PPE missing on operator
INS-8089,2025-10-07,Logistics Yard,Anita Bhosale,Waste segregation bins present,Fail,SDS missing for chemical drum
INS-8100,2025-09-11,Stores - Chemical Storage,Asha Kulkarni,Hydraulic leak check,Fail,Scaffold defect noted
INS-8103,2025-09-13,Welding - Line 1,Vikram Shinde,Torque tool calibration sticker present,Fail,Scaffold defect noted
INS-8106,2025-08-04,Maintenance Workshop,Manoj Desai,Paint booth filters clean,Fail,Spill observed near machine
INS-8117,2025-08-16,Assembly - Line 6,Meena Pawar,SDS available near chemicals,Fail,Loose cable across walkway
INS-8122,2025-08-12,Testing - Dyno Bay,Priya Joshi,Housekeeping - near ovens,Fail,Oil leak at hydraulic unit
INS-8124,2025-09-23,Rooftop Solar Area,Neeta Kulkarni,Toolbox condition,Fail,Scaffold defect noted
INS-8127,2025-09-25,Welding - Line 1,Anita Bhosale,Waste segregation bins present,Fail,PPE missing on operator
INS-8136,2025-09-22,Body Shop - Booth A,Ramesh Patil,Fall protection available at height works,Fail,SDS missing for chemical drum
INS-8140,2025-10-13,Welding - Line 3,Sanjay Mahajan,Material storage stacked safely,Fail,Oil leak at hydraulic unit
INS-8143,2025-10-24,Welding - Line 1,Ajay Kadam,Lockout-tagout in place where work ongoing,Fail,Oil leak at hydraulic unit
INS-8145,2025-10-31,Paint - Prep Area,Varsha Pawar,Spill kit available,Fail,Guard removed for adjustment
INS-8151,2025-08-27,Stores - Chemical Storage,Vikram Shinde,Toolbox condition,Fail,SDS missing for chemical drum
INS-8160,2025-10-29,Electrical Room,Asha Kulkarni,Lubrication points greased,Fail,Lighting at 40% below limit
INS-8161,2025-10-08,Battery Area,Anita Bhosale,Battery storage ventilation,Fail,Emergency exit partially blocked
INS-8162,2025-08-20,Welding - Line 1,Nilesh Chavan,Fire extinguisher pressure OK,Fail,Spill observed near machine
INS-8164,2025-10-30,Office Premises,Ajay Kadam,Spill kit available,Fail,Guard removed for adjustment
INS-8167,2025-10-27,Logistics Yard,Mahesh Londhe,First aid kit stocked,Fail,SDS missing for chemical drum
INS-8170,2025-09-10,Underground Tank Area,Pooja Nimbalkar,Visitor access control,Fail,Loose cable across walkway
INS-8175,2025-10-24,Rooftop Solar Area,Sagar Dani,Machine guarding intact,Fail,Extinguisher pressure low
INS-8178,2025-10-09,Stamping - Bay 2,Rakesh More,Lockout-tagout in place where work ongoing,Fail,Extinguisher pressure low
INS-8185,2025-08-28,Stamping - Bay 2,Vikram Shinde,First aid kit stocked,Fail,SDS missing for chemical drum
INS-8186,2025-10-25,Paint - Prep Area,Suresh Patil,Machine guarding intact,Fail,Emergency exit partially blocked
INS-8192,2025-09-05,Maintenance Workshop,Rahul Deshmukh,Compressed air hoses in good condition,Fail,Loose cable across walkway
INS-8199,2025-08-21,Maintenance Workshop,Neeta Kulkarni,Housekeeping - Floors clean and dry,Fail,Lighting at 40% below limit
INS-8209,2025-08-08,Welding - Line 1,Nilesh Chavan,Hydraulic leak check,Fail,Oil leak at hydraulic unit
INS-8217,2025-10-01,Welding - Line 1,Nilesh Chavan,Fire extinguisher pressure OK,Fail,Extinguisher pressure low
INS-8225,2025-10-15,Assembly - Line 5,Neeta Kulkarni,Forklift parked and keys removed,Fail,Emergency exit partially blocked
INS-8230,2025-09-09,Paint - Oven Area,Rutuja Kale,Cables/trip hazards managed,Fail,Oil leak at hydraulic unit
INS-8236,2025-10-02,Welding - Line 1,Ajay Kadam,Ventilation functioning,Fail,Emergency exit partially blocked
