ptw_id,requester,requester_designation,area,permit_type,work_type(start/stop),hazards_identified,controls,authoriser,authoriser_designation,issue_time,expiry_time,close_time,attachments,permit_status,missing_controls_flag,auto_generated_checklist,notes,issue_date,expiry_dt,is_past_expiry
PTW-5000,Rahul Deshmukh,Shift Supervisor,Underground Tank Area,Excavation,start,Collapse/soil instability; Water ingress,Underground utility check; Shoring in place; Access ladder; Spoil pile positioned; Dewatering plan,Safety Officer - Mr. Sagar Dani,Safety Officer,2025-09-11 08:45,2025-09-11 12:45,2025-09-11 10:45,photo_area_22.jpg,Closed,No,Underground utility check; Shoring in place; Access ladder,,2025-09-11,2025-09-11 12:45:00,False
PTW-5001,Shyamrao Jagtap,Rigger,Paint - Oven Area,Hot Work,start,Fire ignition; Combustible dust presence,Fire watch assigned; Fire extinguisher at site; Welding blanket; Gas-free certificate if needed,Safety Officer - Mr. Sagar Dani,Safety Officer,2025-08-12 14:45,2025-08-12 22:45,2025-08-12 23:45,isolation_certificate_12.pdf,Closed,Yes,Fire watch assigned; Hot work permit displayed; Fire extinguisher at site,,2025-08-12,2025-08-12 22:45:00,False
PTW-5002,Shyamrao Jagtap,Rigger,Battery Area,Hot Work,start,Fire ignition,Fire watch assigned; Hot work permit displayed; Fire extinguisher at site; Welding blanket; Gas-free certificate if needed,Maintenance Head - Mr. Ramesh Patil,Maintenance Head,2025-10-13 10:15,2025-10-13 22:15,2025-10-14 00:15,lockout_tags.xlsx,Closed,No,Fire watch assigned; Hot work permit displayed; Fire extinguisher at site,,2025-10-13,2025-10-13 22:15:00,False
PTW-5003,Sunita Gaikwad,Operator,Body Shop - Booth A,Confined Space,start,Engulfment risk,Gas test record; Entry permit signed; Atmospheric monitor present; Rescue team standby; Ventilation provided,Maintenance Head - Mr. Ramesh Patil,Maintenance Head,2025-09-29 15:45,2025-09-29 23:45,2025-09-29 20:45,isolation_certificate_12.pdf,Closed,No,Gas test record; Entry permit signed; Atmospheric monitor present,,2025-09-29,2025-09-29 23:45:00,False
PTW-5004,Ajay Kadam,Contractor Foreman,Maintenance Workshop,Electrical,stop,Live conductors,Isolation verified; Lockout-Tagout applied; Insulation checked; Qualified electrician present; Voltage tester reading attached,HOD Production - Ms. Neeta Kulkarni,HOD Production,2025-08-16 14:45,2025-08-17 14:45,2025-08-17 17:45,lockout_tags.xlsx,Closed,No,Isolation verified; Lockout-Tagout applied; Insulation checked,,2025-08-16,2025-08-17 14:45:00,False
PTW-5005,Mahesh Londhe,Loader Operator,Welding - Line 3,Working at Height,stop,Fall from height; Wind gusts,Harness and lanyard; Scaffold inspection record; Edge protection; Tool tethering; Weather check,Safety Officer - Mr. Sagar Dani,Safety Officer,2025-09-13 11:45,2025-09-13 19:45,2025-09-13 22:45,sds_hydrochloric.pdf,Closed,No,Harness and lanyard; Scaffold inspection record; Edge protection,,2025-09-13,2025-09-13 19:45:00,False
PTW-5006,Mahesh Londhe,Loader Operator,Body Shop - Booth A,Hot Work,start,Fire ignition; Combustible dust presence,Fire watch assigned; Hot work permit displayed; Fire extinguisher at site; Welding blanket; Gas-free certificate if needed,HR Manager - Ms. Jyoti Rane,HR Manager,2025-09-06 12:30,2025-09-06 18:30,2025-09-06 19:30,scaffold_report_7.pdf,Closed,No,Fire watch assigned; Hot work permit displayed; Fire extinguisher at site,,2025-09-06,2025-09-06 18:30:00,False
PTW-5007,Sanjay Mahajan,Fabrication Lead,Body Shop - Booth A,LOTO,stop,Pneumatic lines; Stored energy in springs,Energy isolation verified; Lock and tag present; Authorized personnel only; LOTO checklist completed,QA Head - Mr. Manoj Desai,QA Head,2025-10-03 07:15,2025-10-03 19:15,2025-10-03 12:15,isolation_certificate_12.pdf,Closed,No,Energy isolation verified; Lock and tag present; Authorized personnel only,,2025-10-03,2025-10-03 19:15:00,False
PTW-5008,Anita Bhosale,Quality Inspector,Maintenance Workshop,Excavation,start,Water ingress; Collapse/soil instability,Underground utility check; Shoring in place; Access ladder; Spoil pile positioned,Plant Manager - Mr. Amit Mehta,Plant Manager,2025-08-23 08:15,2025-08-23 16:15,2025-08-23 14:15,gas_test_45.pdf,Closed,Yes,Underground utility check; Shoring in place; Access ladder,,2025-08-23,2025-08-23 16:15:00,False
PTW-5009,Rutuja Kale,Chemical Operator,Testing - Dyno Bay,LOTO,stop,Unexpected energization; Stored energy in springs,Energy isolation verified; Lock and tag present; Authorized personnel only; LOTO checklist completed,Shift Incharge - Mr. Prakash Yadav,Shift Incharge,2025-10-28 14:00,2025-10-28 18:00,2025-10-28 18:00,sds_hydrochloric.pdf,Closed,No,Energy isolation verified; Lock and tag present; Authorized personnel only,,2025-10-28,2025-10-28 18:00:00,False
PTW-5010,Rahul Deshmukh,Shift Supervisor,Stamping - Bay 1,Working at Height,start,Unstable platform,Harness and lanyard; Scaffold inspection record; Edge protection; Tool tethering; Weather check,Safety Officer - Mr. Sagar Dani,Safety Officer,2025-08-21 07:30,2025-08-21 11:30,2025-08-21 17:30,scaffold_report_7.pdf,Closed,No,Harness and lanyard; Scaffold inspection record; Edge protection,,2025-08-21,2025-08-21 11:30:00,False
PTW-5011,Mohan Dighe,External Contractor,Maintenance Workshop,Confined Space,start,Poor ventilation,Gas test record; Entry permit signed; Atmospheric monitor present; Rescue team standby; Ventilation provided,HR Manager - Ms. Jyoti Rane,HR Manager,2025-08-20 16:30,2025-08-21 04:30,2025-08-21 02:30,isolation_certificate_12.pdf,Closed,No,Gas test record; Entry permit signed; Atmospheric monitor present,,2025-08-20,2025-08-21 04:30:00,False
PTW-5012,Deepak Raut,Maintenance Fitter,Body Shop - Booth A,Excavation,start,Water ingress,Underground utility check; Shoring in place; Access ladder; Spoil pile positioned,Site Engineer - Mr. Vikrant Deshpande,Site Engineer,2025-08-19 07:30,2025-08-19 11:30,2025-08-19 12:30,isolation_certificate_12.pdf,Closed,Yes,Underground utility check; Shoring in place; Access ladder,,2025-08-19,2025-08-19 11:30:00,False
